GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Foreign-born population
HC01_MOE_VC01,Total; Margin of Error; Foreign-born population
HC02_EST_VC01,Foreign born; Born in Latin America; Estimate; Foreign-born population
HC02_MOE_VC01,Foreign born; Born in Latin America; Margin of Error; Foreign-born population
HC03_EST_VC01,Foreign born; Born in Mexico; Estimate; Foreign-born population
HC03_MOE_VC01,Foreign born; Born in Mexico; Margin of Error; Foreign-born population
HC04_EST_VC01,Foreign born; Born in Other Central America; Estimate; Foreign-born population
HC04_MOE_VC01,Foreign born; Born in Other Central America; Margin of Error; Foreign-born population
HC05_EST_VC01,Foreign born; Born in Caribbean; Estimate; Foreign-born population
HC05_MOE_VC01,Foreign born; Born in Caribbean; Margin of Error; Foreign-born population
HC06_EST_VC01,Foreign born; Born in South America; Estimate; Foreign-born population
HC06_MOE_VC01,Foreign born; Born in South America; Margin of Error; Foreign-born population
HC01_EST_VC03,Total; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC01_MOE_VC03,Total; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC02_EST_VC03,Foreign born; Born in Latin America; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC02_MOE_VC03,Foreign born; Born in Latin America; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC03_EST_VC03,Foreign born; Born in Mexico; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC03_MOE_VC03,Foreign born; Born in Mexico; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC04_EST_VC03,Foreign born; Born in Other Central America; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC04_MOE_VC03,Foreign born; Born in Other Central America; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC05_EST_VC03,Foreign born; Born in Caribbean; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC05_MOE_VC03,Foreign born; Born in Caribbean; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC06_EST_VC03,Foreign born; Born in South America; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC06_MOE_VC03,Foreign born; Born in South America; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen
HC01_EST_VC04,Total; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2010 or later
HC01_MOE_VC04,Total; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2010 or later
HC02_EST_VC04,Foreign born; Born in Latin America; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2010 or later
HC02_MOE_VC04,Foreign born; Born in Latin America; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2010 or later
HC03_EST_VC04,Foreign born; Born in Mexico; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2010 or later
HC03_MOE_VC04,Foreign born; Born in Mexico; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2010 or later
HC04_EST_VC04,Foreign born; Born in Other Central America; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2010 or later
HC04_MOE_VC04,Foreign born; Born in Other Central America; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2010 or later
HC05_EST_VC04,Foreign born; Born in Caribbean; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2010 or later
HC05_MOE_VC04,Foreign born; Born in Caribbean; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2010 or later
HC06_EST_VC04,Foreign born; Born in South America; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2010 or later
HC06_MOE_VC04,Foreign born; Born in South America; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2010 or later
HC01_EST_VC05,Total; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 to 2009
HC01_MOE_VC05,Total; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 to 2009
HC02_EST_VC05,Foreign born; Born in Latin America; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 to 2009
HC02_MOE_VC05,Foreign born; Born in Latin America; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 to 2009
HC03_EST_VC05,Foreign born; Born in Mexico; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 to 2009
HC03_MOE_VC05,Foreign born; Born in Mexico; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 to 2009
HC04_EST_VC05,Foreign born; Born in Other Central America; Estimate; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 to 2009
HC04_MOE_VC05,Foreign born; Born in Other Central America; Margin of Error; CITIZENSHIP AND PERIOD OF ENTRY - Naturalized citizen - Entered 2000 to 2009
